,ID,Katakana text Translated,Sentiment
0,1, Huge Patriots pep rally at Tosos in PHX...waiting for Mr Krafts arrival GoPats PatriotsExtra ,5
1,2, For Robert Kraft and Roger Goodell air still isnt clear  Boston Globe  google sport,3
2,3, For Robert Kraft and Roger Goodell air still isnt clear  Boston Globe  google sport,3
3,4, Need recipes Visit the Kraft CookingUpGood page amp watch the video for delicious ideas ,
4,5, EdgeofSports You take the goodYou take the badGivin Bob Kraft hand jobs aint so badThe Facts of LifeThe Facts of Lifetootiebowl,1
5,6, RT HomespunSociety Wrap it up  startup vancouver toronto handmadebot trendit share homespunsoicety,4
6,7, bseymour Cadbury got bought by Kraft a few years back. Hence this years Creame Eggs are terrible.,1
7,8,  enjoy,
8,9, RT OTLonESPN Tomorrow 8am ET ESPN2 Fallout from Deflategatereaction to Fridays comments from Goodell,3
9,10, Tryna turn my kraft into cheddar,2
10,11, RT kittyFitz50 I love Kraft beer .AmericaOnTap  Madison Ads on Limbaugh tarnish your image. StopRush,2
11,12, Wrap it up  startup vancouver toronto handmadebot trendit share homespunsoicety,4
12,13, Wrap it up  startup vancouver toronto handmadebot trendit share homespunsoicety,4
13,14, check this out For Robert Kraft and Roger Goodell air still isnt clear  Boston Globe Bosto...  sports online,3
14,15, The Wisdom Ive Gleaned From Another Passing Year ,3
15,16, New Post Meek Mill  B Boy ft. Big Sean amp ASAP Ferg. UKB ,
16,17, ryancduff ebinnion robneu We do have Wapuu.  Not sure what it is though,
17,18, Need recipes Visit the Kraft CookingUpGood page amp watch the video for delicious ideas ,3
18,19, Super COOL Mommy PAPER  GiftEtsy like2 handmadebot trendit handmadebot trendit RTsme,4
19,20, RT ProjetoIdols RT to be a in a group DM with Selena  Zayn  Liam edU00A0U00BDedU00B2U0098 ,3
20,21, wearethepeople For Robert Kraft and Roger Goodell air still isnt clear  Boston Globe ,2
21,22, RT LoveMyPhilly Need a touchdown GameDay recipe Take our LoveMyPhilly quiz  find the perfect dish to please your football fans ,4
22,23, Shout out to the Jimmy Johns delivery guy who rode is bike in 20 degree weather to deliver my sandwich ForeverThankful,4
23,24, Jonathan Kraft has been stepping out of his fathers shadow ,3
24,25, 25 000 Kraft Bubble Mailers Kraft BubbleMailer Envelope ForSale ShippingSupplies via eBay ,4
25,26, Yummy new year recipes sweepstakes howto videos amp more on from Kraft Foods on Walmart  CookingUpGood,4
26,27, Yummy new year recipes sweepstakes howto videos amp more on from Kraft Foods on Walmart  CookingUpGood,4
27,28, Need recipes Visit the Kraft CookingUpGood page amp watch the video for delicious ideas ,4
28,29, Watch Kraft Dinner DESTROY American mac n cheese but were a bit biased  ,4
29,30, RT KawaiiGoodies vintage inspired newsprint bags  newspaper pioneer oldendays SNRTG etsymntt wildwest htt,3
30,31, Yummy new year recipes sweepstakes howto videos amp more on from Kraft Foods on Walmart  CookingUpGood,4
31,32, Need recipes Visit the Kraft CookingUpGood page amp watch the video for delicious ideas ,4
32,33, I see respect your point. RT kpeterson NicoleKraft I hope this makes sense Im really conflicted about it ,3
33,34, Wrap it up  startup vancouver toronto handmadebot trendit share homespunsoicety,4
