ID,Katakana text Translated,Sentiment
1,Huge @Patriots pep rally at Toso's in PHX...waiting for Mr Kraft's arrival #GoPats @PatriotsExtra http://t.co/y9NElMN6jo,P
2,For Robert Kraft and Roger Goodell air still isn't clear - Boston Globe http://t.co/Rw4oh3hswK #google #sport,3
3,For Robert Kraft and Roger Goodell air still isn't clear - Boston Globe http://t.co/yN68nBRFne #google #sport,3
4,Need #recipes? Visit the Kraft #CookingUpGood page &amp; watch the video for delicious ideas! http://t.co/eEkfmtgln4,NA
5,@EdgeofSports You take the good-You take the bad-Givin Bob Kraft hand jobs ain't so bad-The Facts of Life-The Facts of Life#tootiebowl,N
6,RT @HomespunSociety: Wrap it up http://t.co/82OdXf47m3 #startup #vancouver #toronto #handmadebot #trendit #share #homespunsoicety,P
7,@bseymour Cadbury got bought by Kraft a few years back. Hence this years Creame Eggs are terrible.,N
8,http://t.co/4UFTZ1row3 enjoy,
9,"RT @OTLonESPN: Tomorrow 8am ET ESPN2: Fallout from ""Deflategate""reaction to Friday’s comments from Goodell",3
10,Tryna turn my kraft into cheddar,N
11,RT @kittyFitz50: I love Kraft beer .@America_On_Tap - Madison Ads on Limbaugh tarnish your image. #StopRush,N
12,Wrap it up http://t.co/82OdXf47m3 #startup #vancouver #toronto #handmadebot #trendit #share #homespunsoicety,P
13,Wrap it up http://t.co/Aqxa0vruhm #startup #vancouver #toronto #handmadebot #trendit #share #homespunsoicety,P
14,check this out For Robert Kraft and Roger Goodell air still isn't clear - Boston Globe: Bosto... http://t.co/fXF5wfilgt #sports #online,3
15,The Wisdom I've Gleaned From Another Passing Year http://t.co/WXZ5mZpwZS,3
16,#New Post Meek Mill – B Boy ft. Big Sean &amp; ASAP Ferg. #UKB http://t.co/VBo75Xxn7s,NA
17,@ryancduff @ebinnion @rob_neu We do have Wapuu. http://t.co/j4e9xSvcp0 Not sure what it is though,NA
18,Need #recipes? Visit the Kraft #CookingUpGood page &amp; watch the video for delicious ideas! http://t.co/DxeQXSuZqm,3
19,Super COOL Mommy PAPER! http://t.co/6LFNV4JTOP @GiftEtsy #like2 #handmadebot #trendit #handmadebot #trendit #RTsme,P
20,RT @ProjetoIdols: RT to be a in a group DM with Selena + Zayn + Liam <ed><U+00A0><U+00BD><ed><U+00B2><U+0098> http://t.co/FPkOGJQrj5,3
21,#wearethepeople For Robert Kraft and Roger Goodell air still isn't clear - Boston Globe http://t.co/syYo6Y6xsz,N
22,RT @LoveMyPhilly: Need a touchdown #GameDay recipe? Take our @LoveMyPhilly quiz + find the perfect dish to please your #football fans! http…,P
23,Shout out to the Jimmy John's delivery guy who rode is bike in 20 degree weather to deliver my sandwich #ForeverThankful,P
